WarNum,WarName,ccode,StateName,Location,StartMonth,StartDay,StartYear,EndMonth,EndDay,EndYear,WhereFought,BatDeath
91,Fourth Central American,92,El Salvador,1,2,19,1907,4,23,1907,1,300
91,Fourth Central American,91,Honduras,1,2,19,1907,4,23,1907,1,300
94,Second Spanish-Moroccan,230,Spain,2,7,7,1909,3,23,1910,6,2000
94,Second Spanish-Moroccan,600,Morocco,6,7,7,1909,3,23,1910,6,8000
97,Italian-Turkish,325,Italy,2,9,29,1911,10,18,1912,6,6000
97,Italian-Turkish,640,Turkey,2,9,29,1911,10,18,1912,6,14000
100,First Balkan,640,Turkey,2,10,17,1912,4,19,1913,11,30000
100,First Balkan,350,Greece,2,10,17,1912,4,19,1913,11,5000
100,First Balkan,355,Bulgaria,2,10,17,1912,12,3,1912,2,32000
100,First Balkan,345,Yugoslavia,2,10,17,1912,12,3,1912,11,15000
103,Second Balkan,640,Turkey,2,7,15,1913,7,30,1913,2,20000
103,Second Balkan,345,Yugoslavia,2,6,30,1913,7,30,1913,2,18500
103,Second Balkan,350,Greece,2,6,30,1913,7,30,1913,2,2500
103,Second Balkan,355,Bulgaria,2,6,30,1913,7,30,1913,2,18000
103,Second Balkan,360,Romania,2,7,11,1913,7,30,1913,2,1500
106,World War I,345,Yugoslavia,2,7,29,1914,11,11,1918,2,70000
106,World War I,365,Russia,2,8,1,1914,12,5,1917,11,1700000
106,World War I,355,Bulgaria,2,10,12,1915,9,29,1918,2,87500
106,World War I,200,United Kingdom,2,8,5,1914,11,11,1918,15,908371
106,World War I,740,Japan,3,8,23,1914,11,11,1918,7,300
106,World War I,235,Portugal,2,3,1,1916,11,11,1918,2,7222
106,World War I,640,Turkey,2,10,28,1914,10,30,1918,6,325000
106,World War I,211,Belgium,2,8,4,1914,11,11,1918,2,13716
106,World War I,255,Germany,2,8,1,1914,11,11,1918,15,1773700
106,World War I,350,Greece,2,6,29,1917,11,11,1918,2,5000
106,World War I,360,Romania,2,8,27,1916,12,9,1917,2,335706
106,World War I,300,Austria-Hungary,2,7,29,1914,11,3,1918,2,1200000
106,World War I,220,France,2,8,3,1914,11,11,1918,14,1385000
106,World War I,325,Italy,2,5,23,1915,11,11,1918,2,650000
106,World War I,2,United States of America,1,4,17,1917,11,11,1918,2,116516
107,Estonian Liberation,366,Estonia,2,11,22,1918,1,3,1920,2,3600
107,Estonian Liberation,375,Finland,2,12,30,1918,1,3,1920,2,150
107,Estonian Liberation,365,Russia,2,11,22,1918,1,3,1920,2,8000
108,Latvian Liberation,255,Germany,2,12,7,1918,4,15,1919,2,450
108,Latvian Liberation,365,Russia,2,12,2,1918,2,1,1920,2,8000
108,Latvian Liberation,255,Germany,2,4,16,1919,7,13,1919,2,750
108,Latvian Liberation,366,Estonia,2,1,1,1919,1,3,1920,2,1000
108,Latvian Liberation,367,Latvia,2,12,2,1918,2,1,1920,2,3046
109,Russo-Polish,365,Russia,2,2,14,1919,10,18,1920,2,60000
109,Russo-Polish,290,Poland,2,2,14,1919,10,18,1920,2,40000
112,Hungarian Adversaries,310,Hungary,2,4,16,1919,8,4,1919,2,6000
112,Hungarian Adversaries,315,Czechoslovakia,2,4,26,1919,8,4,1919,2,2000
112,Hungarian Adversaries,360,Romania,2,4,16,1919,8,4,1919,2,3000
115,Second Greco-Turkish,640,Turkey,2,5,5,1919,10,11,1922,11,20000
115,Second Greco-Turkish,350,Greece,2,5,5,1919,10,11,1922,11,30000
116,Franco-Turkish,640,Turkey,2,11,1,1919,10,20,1921,6,35000
116,Franco-Turkish,220,France,2,11,1,1919,10,20,1921,6,5000
117,Lithuanian-Polish,368,Lithuania,2,7,15,1920,12,1,1920,2,500
117,Lithuanian-Polish,290,Poland,2,7,15,1920,12,1,1920,2,500
118,Manchurian,365,USSR,3,8,17,1929,12,3,1929,7,200
118,Manchurian,710,China,3,8,17,1929,12,3,1929,7,3000
121,Second Sino-Japanese,740,Japan,3,12,19,1931,5,22,1933,7,10000
121,Second Sino-Japanese,710,China,3,12,19,1931,5,22,1933,7,50000
124,Chaco,145,Bolivia,1,6,15,1932,6,12,1935,1,56661
124,Chaco,150,Paraguay,1,6,15,1932,6,12,1935,1,36000
125,Saudi-Yemeni,670,Saudi Arabia,6,3,20,1934,5,13,1934,6,100
125,Saudi-Yemeni,678,Yemen Arab Republic,6,3,20,1934,5,13,1934,6,2000
127,Conquest of Ethiopia,325,Italy,2,10,3,1935,5,9,1936,4,4000
127,Conquest of Ethiopia,530,Ethiopia,4,10,3,1935,5,9,1936,4,16000
130,Third Sino-Japanese,710,China,3,7,7,1937,12,6,1941,7,750000
130,Third Sino-Japanese,740,Japan,3,7,7,1937,12,6,1941,7,250000
133,Changkufeng,365,USSR,3,7,29,1938,8,11,1938,7,1200
133,Changkufeng,740,Japan,3,7,29,1938,8,11,1938,7,526
136,Nomonhan,365,USSR,3,5,11,1939,9,16,1939,7,5000
136,Nomonhan,712,Mongolia,3,5,11,1939,9,16,1939,7,3000
136,Nomonhan,740,Japan,3,5,11,1939,9,16,1939,7,20000
139,World War II,310,Hungary,2,6,27,1941,1,20,1945,2,136000
139,World War II,211,Belgium,2,5,10,1940,5,28,1940,2,9600
139,World War II,220,France,2,7,7,1940,7,14,1941,2,2500
139,World War II,345,Yugoslavia,2,4,6,1941,4,17,1941,2,305000
139,World War II,375,Finland,2,6,25,1941,9,19,1944,2,65000
139,World War II,385,Norway,2,4,9,1940,6,9,1940,2,3000
139,World War II,20,Canada,1,9,10,1939,8,14,1945,2,41992
139,World War II,2,United States of America,1,12,7,1941,8,14,1945,19,405400
139,World War II,200,United Kingdom,2,9,3,1939,8,14,1945,15,418765
139,World War II,210,Netherlands,2,5,10,1940,5,14,1940,2,7900
139,World War II,325,Italy,2,6,10,1940,9,2,1943,14,174500
139,World War II,360,Romania,2,9,9,1944,5,7,1945,2,10000
139,World War II,360,Romania,2,6,22,1941,8,23,1944,2,290000
139,World War II,355,Bulgaria,2,12,13,1941,9,8,1944,2,9000
139,World War II,355,Bulgaria,2,9,9,1944,5,7,1945,2,1000
139,World War II,350,Greece,2,10,25,1940,4,23,1941,2,18300
139,World War II,140,Brazil,2,7,6,1944,5,7,1945,2,1000
139,World War II,325,Italy,2,10,18,1943,5,7,1945,14,52400
139,World War II,900,Australia,5,9,3,1939,8,14,1945,16,33826
139,World War II,920,New Zealand,5,9,3,1939,8,14,1945,16,12200
139,World War II,365,USSR,3,6,22,1941,5,7,1945,12,7500000
139,World War II,255,Germany,2,9,1,1939,5,7,1945,14,3500000
139,World War II,290,Poland,2,9,1,1939,9,27,1939,2,320000
139,World War II,220,France,2,9,3,1939,6,22,1940,2,210824
139,World War II,740,Japan,3,12,7,1941,8,14,1945,17,1740000
139,World War II,712,Mongolia,3,8,10,1945,8,14,1945,7,3000
139,World War II,710,China,3,12,7,1941,8,14,1945,7,1350000
139,World War II,560,South Africa,4,9,6,1939,8,14,1945,4,8700
139,World War II,530,Ethiopia,4,1,24,1941,7,3,1941,4,5000
142,Russo-Finnish,375,Finland,2,11,30,1939,3,12,1940,2,24923
142,Russo-Finnish,365,USSR,3,11,30,1939,3,12,1940,2,126875
145,Franco-Thai,220,France,2,12,1,1940,1,28,1941,7,700
145,Franco-Thai,800,Thailand,3,12,1,1940,1,28,1941,7,700
147,First Kashmir,750,India,3,10,26,1947,1,1,1949,7,2500
147,First Kashmir,770,Pakistan,3,10,26,1947,1,1,1949,7,1000
148,Arab-Israeli,666,Israel,6,5,15,1948,7,18,1948,6,3000
148,Arab-Israeli,651,Egypt,6,5,15,1948,7,18,1948,6,2000
148,Arab-Israeli,652,Syria,6,5,15,1948,7,18,1948,6,1000
148,Arab-Israeli,660,Lebanon,6,5,15,1948,7,18,1948,6,500
148,Arab-Israeli,663,Jordan,6,5,15,1948,7,18,1948,6,1000
148,Arab-Israeli,645,Iraq,6,5,15,1948,7,18,1948,6,500
151,Korean,710,China,3,10,27,1950,7,27,1953,7,422612
151,Korean,211,Belgium,2,1,20,1951,7,27,1953,7,97
151,Korean,20,Canada,1,12,19,1950,7,27,1953,7,309
151,Korean,100,Colombia,1,6,6,1951,7,27,1953,7,140
151,Korean,200,United Kingdom,2,8,29,1950,7,27,1953,7,710
151,Korean,210,Netherlands,2,1,20,1951,7,27,1953,7,111
151,Korean,350,Greece,2,1,20,1951,7,27,1953,7,169
151,Korean,220,France,2,1,1,1951,7,27,1953,7,288
151,Korean,640,Turkey,2,10,18,1950,7,27,1953,7,717
151,Korean,840,Philippines,3,9,16,1950,7,27,1953,7,92
151,Korean,800,Thailand,3,1,20,1951,7,27,1953,7,114
151,Korean,731,North Korea,3,6,24,1950,7,27,1953,7,316579
151,Korean,530,Ethiopia,4,5,1,1951,7,27,1953,7,120
151,Korean,900,Australia,5,12,10,1950,7,27,1953,7,291
151,Korean,732,South Korea,3,6,24,1950,7,27,1953,7,113248
151,Korean,2,United States of America,2,6,27,1950,7,27,1953,7,54487
153,Off-shore Islands,710,China,3,9,3,1954,4,23,1955,7,1003
153,Off-shore Islands,713,Taiwan,3,9,3,1954,4,23,1955,7,1367
155,Sinai War,220,France,2,10,31,1956,11,6,1956,6,10
155,Sinai War,666,Israel,6,10,29,1956,11,6,1956,6,189
155,Sinai War,651,Egypt,6,10,29,1956,11,6,1956,6,3000
155,Sinai War,200,United Kingdom,2,10,31,1956,11,6,1956,6,22
156,Soviet Invasion of Hungary,310,Hungary,2,11,4,1956,11,14,1956,2,926
156,Soviet Invasion of Hungary,365,USSR,2,11,4,1956,11,14,1956,2,1500
158,IfniWar,220,France,2,2,10,1958,4,10,1958,6,0
158,IfniWar,230,Spain,2,11,21,1957,4,10,1958,6,122
158,IfniWar,600,Morocco,6,11,21,1957,4,10,1958,6,1000
159,Taiwan Straits,710,China (PRC),3,8,23,1958,11,23,1958,7,300
159,Taiwan Straits,713,Taiwan (ROC),3,8,23,1958,11,23,1958,7,1500
160,Assam,750,India,3,10,20,1962,11,22,1962,7,1353
160,Assam,710,China (PRC),3,10,20,1962,11,22,1962,7,500
163,"Vietnam War, Phase 2",2,United States of America,1,2,7,1965,1,27,1973,7,58153
163,"Vietnam War, Phase 2",811,Cambodia,3,3,1,1970,4,17,1975,7,2500
163,"Vietnam War, Phase 2",732,South Korea,3,5,1,1965,1,28,1973,7,4687
163,"Vietnam War, Phase 2",840,Philippines,3,10,1,1966,1,28,1973,7,1000
163,"Vietnam War, Phase 2",817,South Vietnam,3,2,7,1965,4,30,1975,7,254257
163,"Vietnam War, Phase 2",816,Vietnam,3,2,7,1965,4,30,1975,7,700000
163,"Vietnam War, Phase 2",800,Thailand,3,10,1,1967,1,28,1973,7,351
163,"Vietnam War, Phase 2",900,Australia,5,2,7,1965,12,20,1972,7,494
166,Second Kashmir,750,India,3,8,5,1965,9,23,1965,7,3261
166,Second Kashmir,770,Pakistan,3,8,5,1965,9,23,1965,7,3800
169,Six Day War,666,Israel,6,6,5,1967,6,10,1967,6,1000
169,Six Day War,651,Egypt,6,6,5,1967,6,10,1967,6,10000
169,Six Day War,663,Jordan,6,6,5,1967,6,10,1967,6,6100
169,Six Day War,652,Syria,6,6,5,1967,6,10,1967,6,2500
170,"Second Laotian, Phase 2",2,United States of America,2,1,13,1968,4,17,1973,7,375
170,"Second Laotian, Phase 2",800,Thailand,3,3,17,1970,4,17,1973,7,-9
170,"Second Laotian, Phase 2",812,Laos,3,1,13,1968,4,17,1973,7,11250
170,"Second Laotian, Phase 2",816,Vietnam,3,1,13,1968,4,17,1973,7,2250
172,War of Attrition,651,Egypt,6,3,6,1969,8,7,1970,6,5000
172,War of Attrition,666,Israel,6,3,6,1969,8,7,1970,6,368
175,Football War,91,Honduras,1,7,14,1969,7,18,1969,1,1200
175,Football War,92,El Salvador,1,7,14,1969,7,18,1969,1,700
176,Communist Coalition,816,Vietnam,3,3,23,1970,7,2,1971,7,400
176,Communist Coalition,2,United States of America,2,5,1,1970,7,2,1971,7,125
176,Communist Coalition,811,Cambodia,3,3,23,1970,7,2,1971,7,5000
176,Communist Coalition,817,South Vietnam,3,5,1,1970,7,2,1971,7,1000
178,Bangladesh,750,India,3,12,3,1971,12,17,1971,7,3241
178,Bangladesh,770,Pakistan,3,12,3,1971,12,17,1971,7,7982
181,Yom Kippur War,651,Egypt,6,10,6,1973,10,24,1973,6,7700
181,Yom Kippur War,670,Saudi Arabia,6,10,10,1973,10,24,1973,6,100
181,Yom Kippur War,666,Israel,6,10,6,1973,10,24,1973,6,2838
181,Yom Kippur War,663,Jordan,6,10,10,1973,10,24,1973,6,23
181,Yom Kippur War,652,Syria,6,10,6,1973,10,24,1973,6,3500
181,Yom Kippur War,645,Iraq,6,10,6,1973,10,24,1973,6,278
184,Turco-Cypriot,640,Turkey,2,7,20,1974,7,29,1974,2,1000
184,Turco-Cypriot,352,Cyprus,2,7,20,1974,7,29,1974,2,500
186,War over Angola,40,Cuba,1,10,23,1975,2,12,1976,4,1500
186,War over Angola,560,South Africa,4,10,23,1975,2,12,1976,4,100
186,War over Angola,490,Democratic Republic of the Congo,4,10,23,1975,2,12,1976,4,100
186,War over Angola,540,Angola,4,11,11,1975,2,12,1976,4,1000
187,"Second Ogaden War, Phase 2",530,Ethiopia,4,7,23,1977,3,9,1978,4,1800
187,"Second Ogaden War, Phase 2",40,Cuba,1,11,23,1977,3,9,1978,4,700
187,"Second Ogaden War, Phase 2",520,Somalia,4,7,23,1977,3,9,1978,4,8000
189,Vietnamese-Cambodian,816,Vietnam,3,9,24,1977,1,8,1979,7,3000
189,Vietnamese-Cambodian,811,Cambodia,3,9,24,1977,1,8,1979,7,5000
190,Ugandian-Tanzanian,500,Uganda,4,10,28,1978,4,11,1979,4,1500
190,Ugandian-Tanzanian,510,Tanzania,4,10,28,1978,4,11,1979,4,1000
190,Ugandian-Tanzanian,620,Libya,4,2,1,1979,4,11,1979,4,500
193,Sino-Vietnamese Punitive,710,China,3,2,17,1979,3,16,1979,7,13000
193,Sino-Vietnamese Punitive,816,Vietnam,3,2,17,1979,3,16,1979,7,8000
199,Iran-Iraq,645,Iraq,6,9,22,1980,8,20,1988,6,500000
199,Iran-Iraq,630,Iran,6,9,22,1980,8,20,1988,6,750000
202,Falkland Islands,200,United Kingdom,2,3,25,1982,6,15,1982,1,255
202,Falkland Islands,160,Argentina,1,3,25,1982,6,15,1982,1,746
205,War over Lebanon,666,Israel,6,4,21,1982,9,15,1982,6,455
205,War over Lebanon,652,Syria,6,4,21,1982,9,15,1982,6,1200
207,War over the Aouzou Strip,483,Chad,4,11,15,1986,9,11,1987,18,1000
207,War over the Aouzou Strip,620,Libya,4,11,15,1986,9,11,1987,18,7000
208,Sino-Vietnamese Border War,816,Vietnam,3,1,5,1987,2,6,1987,7,2200
208,Sino-Vietnamese Border War,710,China,3,1,5,1987,2,6,1987,7,1800
211,Gulf War,690,Kuwait,6,8,2,1990,4,11,1991,6,1000
211,Gulf War,2,United States of America,1,1,16,1991,4,11,1991,6,376
211,Gulf War,20,Canada,1,1,16,1991,4,11,1991,6,0
211,Gulf War,200,United Kingdom,2,1,16,1991,4,11,1991,6,24
211,Gulf War,325,Italy,2,1,16,1991,4,11,1991,6,0
211,Gulf War,600,Morocco,6,1,16,1991,4,11,1991,6,0
211,Gulf War,645,Iraq,6,8,2,1990,4,11,1991,6,40000
211,Gulf War,651,Egypt,6,1,16,1991,4,11,1991,6,14
211,Gulf War,698,Oman,6,1,16,1991,4,11,1991,6,0
211,Gulf War,220,France,2,1,16,1991,4,11,1991,6,2
211,Gulf War,696,United Arab Emirates,6,1,16,1991,4,11,1991,6,6
211,Gulf War,694,Qatar,6,1,16,1991,4,11,1991,6,0
211,Gulf War,670,Saudi Arabia,6,1,16,1991,4,11,1991,6,44
211,Gulf War,652,Syria,6,1,16,1991,4,11,1991,6,0
215,Bosnian Independence,344,Croatia,2,4,7,1992,5,13,1992,2,500
215,Bosnian Independence,346,Bosnia,2,4,7,1992,5,13,1992,2,2850
215,Bosnian Independence,345,Yugoslavia,2,4,7,1992,5,13,1992,2,1890
216,Azeri-Armenian,373,Azerbaijan,2,2,6,1993,5,12,1994,2,8500
216,Azeri-Armenian,371,Armenia,2,2,6,1993,5,12,1994,2,5500
217,Cenepa Valley,130,Ecuador,1,1,9,1995,2,27,1995,1,550
217,Cenepa Valley,135,Peru,1,1,9,1995,2,27,1995,1,950
219,Badme Border,531,Eritrea,4,5,6,1998,12,12,2000,4,50000
219,Badme Border,530,Ethiopia,4,5,6,1998,12,12,2000,4,70000
221,War for Kosovo,640,Turkey,2,3,24,1999,6,10,1999,2,0
221,War for Kosovo,325,Italy,2,3,24,1999,6,10,1999,2,0
221,War for Kosovo,200,United Kingdom,2,3,24,1999,6,10,1999,2,0
221,War for Kosovo,2,United States of America,1,3,24,1999,6,10,1999,2,2
221,War for Kosovo,210,Netherlands,2,3,24,1999,6,10,1999,2,0
221,War for Kosovo,220,France,2,3,24,1999,6,10,1999,2,0
221,War for Kosovo,345,Yugoslavia,2,3,24,1999,6,10,1999,2,5000
221,War for Kosovo,255,Germany,2,3,24,1999,6,10,1999,2,0
223,Kargil War,750,India,3,5,8,1999,7,17,1999,7,474
223,Kargil War,770,Pakistan,3,5,8,1999,7,17,1999,7,698
225,Invasion of Afghanistan,20,Canada,1,11,15,2001,12,22,2001,7,0
225,Invasion of Afghanistan,220,France,2,10,21,2001,12,22,2001,7,0
225,Invasion of Afghanistan,200,United Kingdom,1,10,7,2001,12,22,2001,7,0
225,Invasion of Afghanistan,2,United States of America,1,10,7,2001,12,22,2001,7,2
225,Invasion of Afghanistan,900,Australia,5,10,17,2001,12,22,2001,7,0
225,Invasion of Afghanistan,700,Afghanistan,6,10,7,2001,12,22,2001,7,4000
227,Invasion of Iraq,900,Australia,5,3,19,2003,5,2,2003,6,0
227,Invasion of Iraq,200,United Kingdom,2,3,19,2003,5,2,2003,6,33
227,Invasion of Iraq,2,United States of America,1,3,19,2003,5,2,2003,6,140
227,Invasion of Iraq,645,Iraq,6,3,19,2003,5,2,2003,6,7000
